Name,Date,TimeStep,Site,Module,Side,A1,A2,Row,Column,Label
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,304,2056,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1347,1174,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1242,543,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1354,757,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1309,1244,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1387,491,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,479,1200,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1232,1573,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,729,1824,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,813,873,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1493,660,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,590,927,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,748,2289,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,890,3796,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1184,3002,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1500,4098,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1446,2407,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1475,3485,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,926,2932,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,632,3941,B
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1414,3913,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,863,3051,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1299,3955,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1339,2910,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1341,3587,T
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,2592,1025,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,2083,728,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,2130,703,T
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,2726,1966,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1832,2007,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,2521,922,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,2577,1555,T
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1879,1125,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1658,1094,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,2520,1881,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,2228,656,T
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1791,1461,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1696,545,CCA
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,2740,2470,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,2457,2595,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1590,2565,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,2254,3691,B
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,2380,2751,T
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1839,2619,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,2710,2658,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,1888,2651,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,2024,2583,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,2227,3118,Sand
H_07_T 17_04_11.jpg,4/11/17,1,HAN,7,T,,,2041,3587,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,844,1870,B
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,913,1230,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,840,2007,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,979,1351,MA
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,302,1206,B
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,975,1392,MA
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,501,1441,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,355,1100,B
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,1133,1116,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,265,2126,*RDMA
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,772,1327,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,1057,1466,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,235,1790,B
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,1208,1225,*RDMA
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,886,3174,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,533,3003,B
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,893,2911,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,775,2758,B
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,429,2477,B
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,1092,3365,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,1436,3358,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,331,3391,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,1190,3035,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,832,3119,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,1489,2266,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,1225,3244,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,899,2253,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,719,2913,B
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,2045,2128,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,2116,1189,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,2832,1192,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,2535,1903,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,2292,1700,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,2589,1442,MA
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,2823,1666,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,2214,1901,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,1713,1577,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,2028,818,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,2540,2050,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,2570,1248,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,1673,1395,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,1620,3203,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,2723,3146,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,1599,3450,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,2624,3131,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,1630,3166,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,2452,3088,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,1863,2692,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,1850,2329,T
H_08_N 17_04_11.jpg,4/11/17,1,HAN,8,N,,,2937,2579,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,744,1807,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,801,2008,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,873,2057,*RDMA
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,836,1686,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1198,1517,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1061,1259,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1145,2015,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,425,1579,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,390,1437,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1101,1616,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1301,1493,MA
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,631,1104,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,407,1118,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,424,1407,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1048,2630,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,573,3083,B
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,877,2912,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,419,3100,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,714,2869,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,329,2581,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1316,2599,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1219,2667,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,718,2832,B
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1073,2429,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,874,2808,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,644,2440,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,2071,1774,B
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1456,1920,B
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,2275,2000,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1744,1596,B
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1578,1677,MA
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1845,2069,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1745,1678,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1480,1237,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1884,1824,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,2047,1965,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1364,2076,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1344,1898,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,2321,1278,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,2271,1891,B
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1639,2542,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1692,2869,Sand
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1697,2137,Sand
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,2269,2713,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1920,2661,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1824,3024,MA
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1465,2156,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1875,2199,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,2237,2095,T
H_08_S 17_04_11.jpg,4/11/17,1,HAN,8,S,,,1833,3036,T
H_08_T 17_04_11.jpg,4/11/17,1,HAN,8,T,,,732,688,Sand
