Date,Year,Site_long,Shelter,Module #,TimeStep
6/3/19,19,Waikiki,High,111,9
6/3/19,19,Waikiki,Low,112,9
6/3/19,19,Waikiki,High,113,9
6/3/19,19,Waikiki,Low,114,9
6/3/19,19,Waikiki,High,115,9
6/3/19,19,Waikiki,Low,116,9
6/4/19,19,Hanauma Bay,High,211,9
6/4/19,19,Hanauma Bay,Low,212,9
6/4/19,19,Hanauma Bay,High,213,9
6/4/19,19,Hanauma Bay,Low,214,9
6/4/19,19,Hanauma Bay,High,215,9
6/4/19,19,Hanauma Bay,Low,216,9
9/15/19,19,Waikiki,High,111,10
9/15/19,19,Waikiki,Low,112,10
9/15/19,19,Waikiki,High,113,10
9/15/19,19,Waikiki,Low,114,10
9/15/19,19,Waikiki,High,115,10
9/15/19,19,Waikiki,Low,116,10
9/10/19,19,Hanauma Bay,High,211,10
9/10/19,19,Hanauma Bay,Low,212,10
9/10/19,19,Hanauma Bay,High,213,10
9/10/19,19,Hanauma Bay,Low,214,10
9/10/19,19,Hanauma Bay,High,215,10
9/10/19,19,Hanauma Bay,Low,216,10
12/14/19,19,Waikiki,High,111,11
12/14/19,19,Waikiki,Low,112,11
12/14/19,19,Waikiki,High,113,11
12/14/19,19,Waikiki,Low,114,11
12/14/19,19,Waikiki,High,115,11
12/14/19,19,Waikiki,Low,116,11
12/10/19,19,Hanauma Bay,High,211,11
12/10/19,19,Hanauma Bay,Low,212,11
12/10/19,19,Hanauma Bay,High,213,11
12/10/19,19,Hanauma Bay,Low,214,11
12/10/19,19,Hanauma Bay,High,215,11
12/10/19,19,Hanauma Bay,Low,216,11
2/17/20,20,Waikiki,High,111,12
2/17/20,20,Waikiki,Low,112,12
2/17/20,20,Waikiki,High,113,12
2/17/20,20,Waikiki,Low,114,12
2/22/20,20,Waikiki,High,115,12
2/17/20,20,Waikiki,Low,116,12
3/17/20,20,Hanauma Bay,High,211,12
3/17/20,20,Hanauma Bay,Low,212,12
3/17/20,20,Hanauma Bay,High,213,12
3/17/20,20,Hanauma Bay,Low,214,12
3/17/20,20,Hanauma Bay,High,215,12
3/17/20,20,Hanauma Bay,Low,216,12
5/29/20,20,Waikiki,High,111,13
5/29/20,20,Waikiki,Low,112,13
5/29/20,20,Waikiki,High,113,13
5/29/20,20,Waikiki,Low,114,13
5/29/20,20,Waikiki,High,115,13
5/29/20,20,Waikiki,Low,116,13
6/16/20,20,Hanauma Bay,High,211,13
6/16/20,20,Hanauma Bay,Low,212,13
6/16/20,20,Hanauma Bay,High,213,13
6/16/20,20,Hanauma Bay,Low,214,13
6/16/20,20,Hanauma Bay,High,215,13
6/16/20,20,Hanauma Bay,Low,216,13
