Module #,TimeStep,Site_long,Shelter,Side,Settlement_Area
214,9,Hanauma Bay,Low,S,0.306185277
215,9,Hanauma Bay,High,N,0.582389133
215,9,Hanauma Bay,High,S,0.599628448
216,9,Hanauma Bay,Low,N,0.48607381
216,9,Hanauma Bay,Low,S,0.481576598
111,10,Waikiki,High,N,0.549409567
111,10,Waikiki,High,S,0.599628448
112,10,Waikiki,Low,N,0.532170249
112,10,Waikiki,Low,S,0.599628448
113,10,Waikiki,High,N,0.512682323
113,10,Waikiki,High,S,0.539665604
114,10,Waikiki,Low,N,0.599628448
114,10,Waikiki,Low,S,0.563275974
115,10,Waikiki,High,N,0.599628448
115,10,Waikiki,High,S,0.599628448
116,10,Waikiki,Low,N,0.599628448
116,10,Waikiki,Low,S,0.51005895
211,10,Hanauma Bay,High,N,0.38488651
211,10,Hanauma Bay,High,S,0.492819631
212,10,Hanauma Bay,Low,N,0.318177845
212,10,Hanauma Bay,Low,S,0.434355859
213,10,Hanauma Bay,High,N,0.436979232
213,10,Hanauma Bay,High,S,0.503313129
214,10,Hanauma Bay,Low,N,0.380389298
214,10,Hanauma Bay,Low,S,0.32754704
215,10,Hanauma Bay,High,N,0.475955081
215,10,Hanauma Bay,High,S,0.541539443
216,10,Hanauma Bay,Low,N,0.448971802
216,10,Hanauma Bay,Low,S,0.486823346
111,11,Waikiki,High,N,0.360901373
111,11,Waikiki,High,S,0.528422572
112,11,Waikiki,Low,N,0.417491308
112,11,Waikiki,Low,S,0.55727969
113,11,Waikiki,High,N,0.495817774
113,11,Waikiki,High,S,0.512682323
114,11,Waikiki,Low,N,0.559528297
114,11,Waikiki,Low,S,0.551658174
115,11,Waikiki,High,N,0.599628448
115,11,Waikiki,High,S,0.599628448
116,11,Waikiki,Low,N,0.493569167
116,11,Waikiki,Low,S,0.481951366
211,11,Hanauma Bay,High,N,0.425361432
211,11,Hanauma Bay,High,S,0.453843783
212,11,Hanauma Bay,Low,N,0.354155553
212,11,Hanauma Bay,Low,S,0.465086816
213,11,Hanauma Bay,High,N,0.475955081
213,11,Hanauma Bay,High,S,0.573019937
214,11,Hanauma Bay,Low,N,0.330170414
214,11,Hanauma Bay,Low,S,0.295691779
215,11,Hanauma Bay,High,N,0.519428143
215,11,Hanauma Bay,High,S,0.599628448
216,11,Hanauma Bay,Low,N,0.438478304
216,11,Hanauma Bay,Low,S,0.480452294
111,12,Waikiki,High,N,0.319302149
111,12,Waikiki,High,S,0.528422571
112,12,Waikiki,Low,N,0.465461584
112,12,Waikiki,Low,S,0.599628448
113,12,Waikiki,High,N,0.537791766
113,12,Waikiki,High,S,0.537791765
114,12,Waikiki,Low,N,0.599628448
